date,open,high,low,close,volume,outstanding_share,turnover
2006-10-27,3.4,3.44,3.26,3.28,2582539562.0,6830780000.0,0.37807388936548975
2006-10-30,3.27,3.32,3.25,3.29,351921002.0,6830780000.0,0.051519885283964645
2006-10-31,3.28,3.33,3.28,3.3,230126187.0,6830780000.0,0.0336895913790226
2006-11-01,3.3,3.31,3.28,3.3,132892401.0,6830780000.0,0.019454937942665406
2006-11-02,3.3,3.3,3.25,3.28,175155427.0,6830780000.0,0.025642082895364803
2006-11-03,3.27,3.37,3.27,3.36,400016130.0,6830780000.0,0.058560827606803326
2006-11-06,3.33,3.38,3.32,3.38,209993801.0,6830780000.0,0.03074228726441197
2006-11-07,3.38,3.43,3.37,3.4,296792452.0,6830780000.0,0.043449276949338145
2006-11-08,3.4,3.4,3.35,3.36,151822699.0,6830780000.0,0.022226260983372322
2006-11-09,3.36,3.4,3.35,3.4,177948204.0,6830780000.0,0.026050934739517303
2006-11-10,3.4,3.52,3.4,3.46,759690218.0,6830780000.0,0.11121573495267012
2006-11-13,3.45,3.59,3.44,3.52,463375150.0,6830780000.0,0.06783634519044678
2006-11-14,3.58,3.62,3.53,3.6,431911750.0,6830780000.0,0.06323022407397105
2006-11-15,3.61,3.65,3.6,3.65,344605663.0,6830780000.0,0.05044894770436173
2006-11-16,3.7,3.93,3.67,3.8,687712580.0,6830780000.0,0.10067848474112766
2006-11-17,3.79,3.85,3.74,3.8,314841698.0,6830780000.0,0.04609161735555822
2006-11-20,3.8,3.92,3.8,3.92,318049415.0,6830780000.0,0.046561214824661315
2006-11-21,3.91,3.96,3.86,3.93,233060114.0,6830780000.0,0.03411910704194836
2006-11-22,3.91,3.95,3.81,3.9,283457074.0,6830780000.0,0.041497028743423155
2006-11-23,3.92,4.01,3.92,3.97,302943550.0,6830780000.0,0.04434977411071649
2006-11-24,3.92,3.94,3.86,3.92,189227337.0,6830780000.0,0.02770215656191533
2006-11-27,3.89,3.9,3.76,3.81,300467637.0,6830780000.0,0.04398730994117802
2006-11-28,3.78,3.81,3.71,3.75,242436322.0,6830780000.0,0.03549174794093793
2006-11-29,3.67,3.8,3.65,3.79,244311148.0,6830780000.0,0.03576621527848942
2006-11-30,3.8,3.83,3.77,3.81,231829092.0,6830780000.0,0.03393889014138941
