date,open,high,low,close,volume,outstanding_share,turnover
2009-10-30,48.86,72.0,42.65,51.9,23975080.0,26800000.0,0.8945925373134328
2009-11-02,46.71,53.83,46.71,48.49,10095677.0,26800000.0,0.3767043656716418
2009-11-03,49.31,53.0,47.61,50.7,7044934.0,26800000.0,0.26287067164179106
2009-11-04,50.28,52.85,50.01,51.7,4652062.0,26800000.0,0.17358440298507463
2009-11-05,51.44,54.49,50.5,52.5,5298379.0,26800000.0,0.19770070895522387
2009-11-06,52.0,52.96,49.36,50.05,4175109.0,26800000.0,0.15578764925373134
2009-11-09,49.81,50.42,47.98,48.33,3145749.0,26800000.0,0.11737869402985075
2009-11-10,48.55,48.79,46.56,46.66,3149786.0,26800000.0,0.11752932835820895
2009-11-11,46.13,47.13,45.11,46.8,2602840.0,26800000.0,0.09712089552238806
2009-11-12,46.7,48.48,46.43,48.3,2673148.0,26800000.0,0.09974432835820896
2009-11-13,48.34,51.8,48.01,50.28,4210148.0,26800000.0,0.15709507462686567
2009-11-16,50.2,50.28,48.88,49.7,2996244.0,26800000.0,0.11180014925373134
2009-11-17,49.5,50.7,49.01,49.3,1929430.0,26800000.0,0.07199365671641791
2009-11-18,49.42,50.94,49.05,50.54,3066157.0,26800000.0,0.11440884328358208
2009-11-19,50.61,55.5,50.2,53.05,5842210.0,26800000.0,0.2179929104477612
2009-11-20,52.69,54.17,51.91,52.6,2845770.0,26800000.0,0.10618544776119403
2009-11-23,52.5,54.08,52.3,53.85,2511877.0,26800000.0,0.09372675373134329
2009-11-24,54.5,54.96,49.08,51.2,4057508.0,26800000.0,0.15139955223880597
2009-11-25,50.75,53.98,50.32,53.58,3564195.0,26800000.0,0.13299235074626867
2009-11-26,53.55,54.7,52.12,54.7,4178462.0,26800000.0,0.15591276119402986
2009-11-27,55.8,59.84,55.8,56.9,5992965.0,26800000.0,0.22361809701492538
2009-11-30,56.8,56.8,54.0,56.3,3168133.0,26800000.0,0.11821391791044776
2009-12-01,55.96,56.29,54.5,55.57,2543968.0,26800000.0,0.09492417910447762
